Journal, Publisher, Selective?, IF, Journal policy quote
PLoS One, PLoS, no, , "PLOS ONE uses peer review to determine whether a paper is technically sound and worthy of inclusion in the published scientific record. Once the work is published in PLOS ONE, the broader community is then able to discuss and evaluate the significance of the article" 
PLoS Biology, PLoS, yes,,
PLOS Medicine,,,,
PLOS Genetics,,,,
PLOS Computational Biology,,,,
PLOS Pathogens,,,,
PLOS Neglected Tropical Diseases,,,,
PLOS Currents,,,,
BMC Evolutionary Biology, Springer, minor, , "It is journal policy to publish work deemed by peer reviewers to be a coherent and sound addition to scientific knowledge and to put less emphasis on interest levels, provided that the research constitutes a useful contribution to the field."
BMC Biology, Springer, yes,,
BMC Ecology,,,,
BMC Genetics,,,,
BMC Genomics,,,,
BMC Bioinformatics,,,,
Ecology and Evolution,,,,
